msg_id,No.,timestamp,Source,Destination,app_protocol,src_port,dst_port,Length,TCP payload,iRTT,Flags,Request Method,Protocols in frame,message
1,53,9.949863,::1,::1,HTTP,59415,8890,1823,(1747 bytes),0.000077000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%A2%D7%96%D7%A8/raw_tcp_ip_notebook_fallback_annotated-v1.ipynb/checkpoints?1766592011715 HTTP/1.1
2,67,9.957975,::1,::1,HTTP,59416,8890,1694,(1618 bytes),0.000185000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592011716 HTTP/1.1
3,69,9.958141,::1,::1,HTTP,59417,8890,1693,(1617 bytes),0.000135000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592011717 HTTP/1.1
4,75,9.962243,::1,::1,HTTP,59418,8890,1692,(1616 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592011717 HTTP/1.1
5,77,9.962327,::1,::1,HTTP,59419,8890,1710,(1634 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592011718 HTTP/1.1
6,79,10.000786,::1,::1,HTTP/JSON,8890,59416,434,(358 bytes),0.000185000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
7,81,10.002890,::1,::1,HTTP/JSON,8890,59417,1579,(1503 bytes),0.000135000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
8,83,10.004642,::1,::1,HTTP/JSON,8890,59418,766,(690 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
9,85,10.008243,::1,::1,HTTP/JSON,8890,59415,503,(427 bytes),0.000077000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
10,165,10.040795,::1,::1,HTTP/JSON,8890,59419,4353,(4277 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
11,173,10.247699,::1,::1,HTTP,59419,8890,1717,(1641 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /aext_assistant_server/get_disk_state?1766592012049 HTTP/1.1
12,177,10.252078,::1,::1,HTTP/JSON,8890,59419,2293,(2217 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
13,193,10.444963,::1,::1,HTTP,59419,8890,708,(632 bytes),0.000126000,"0x018 (PSH, ACK)",POST,null:ipv6:tcp:http:data-text-lines,POST /aext_assistant_server/sync_disk_state?1766592012245 HTTP/1.1  (text/plain)
14,200,10.453143,::1,::1,HTTP,8890,59419,403,(327 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
15,202,10.645987,::1,::1,HTTP,59419,8890,1776,(1700 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592012437 HTTP/1.1
16,204,10.657109,::1,::1,HTTP/JSON,8890,59419,503,(427 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
17,206,10.662745,::1,::1,HTTP,59419,8890,1671,(1595 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592012449 HTTP/1.1
18,207,10.662787,::1,::1,HTTP,59415,8890,1672,(1596 bytes),0.000077000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592012450 HTTP/1.1
19,210,10.663316,::1,::1,HTTP,59418,8890,1673,(1597 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592012450 HTTP/1.1
20,212,10.663679,::1,::1,HTTP,59417,8890,1689,(1613 bytes),0.000135000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents?content=1&hash=0&1766592012451 HTTP/1.1
21,214,10.665147,::1,::1,HTTP/JSON,8890,59419,766,(690 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
22,216,10.666423,::1,::1,HTTP/JSON,8890,59415,1579,(1503 bytes),0.000077000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
23,218,10.669425,::1,::1,HTTP/JSON,8890,59418,434,(358 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
24,298,10.706030,::1,::1,HTTP/JSON,8890,59417,4353,(4277 bytes),0.000135000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
25,308,10.931395,::1,::1,HTTP,59417,8890,1696,(1620 bytes),0.000135000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /aext_assistant_server/get_disk_state?1766592012725 HTTP/1.1
26,310,10.935053,::1,::1,HTTP,59418,8890,1717,(1641 bytes),0.000126000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /aext_assistant_server/get_disk_state?1766592012734 HTTP/1.1
27,314,10.935193,::1,::1,HTTP/JSON,8890,59417,1212,(1136 bytes),0.000135000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
28,320,10.940463,::1,::1,HTTP/JSON,8890,59418,1212,(1136 bytes),0.000126000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
29,356,11.128748,::1,::1,HTTP,59421,8890,1789,(1713 bytes),0.000075000,"0x018 (PSH, ACK)",POST,null:ipv6:tcp:http:data-text-lines,POST /aext_assistant_server/sync_disk_state?1766592012924 HTTP/1.1  (text/plain)
30,360,11.135150,::1,::1,HTTP,8890,59421,403,(327 bytes),0.000075000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
31,371,11.295214,::1,::1,HTTP,59421,8890,708,(632 bytes),0.000075000,"0x018 (PSH, ACK)",POST,null:ipv6:tcp:http:data-text-lines,POST /aext_assistant_server/sync_disk_state?1766592013093 HTTP/1.1  (text/plain)
32,374,11.299496,::1,::1,HTTP,8890,59421,403,(327 bytes),0.000075000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http,HTTP/1.1 200 OK
33,383,12.665398,::1,::1,HTTP,59421,8890,1776,(1700 bytes),0.000075000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592014467 HTTP/1.1
34,385,12.672231,::1,::1,HTTP/JSON,8890,59421,503,(427 bytes),0.000075000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
35,387,12.729878,::1,::1,HTTP,59421,8890,1823,(1747 bytes),0.000075000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%A2%D7%96%D7%A8/raw_tcp_ip_notebook_fallback_annotated-v1.ipynb/checkpoints?1766592014531 HTTP/1.1
36,389,12.736401,::1,::1,HTTP/JSON,8890,59421,503,(427 bytes),0.000075000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
37,399,14.677500,::1,::1,HTTP,59421,8890,1776,(1700 bytes),0.000075000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592016477 HTTP/1.1
38,401,14.683405,::1,::1,HTTP/JSON,8890,59421,503,(427 bytes),0.000075000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
39,429,16.689795,::1,::1,HTTP,59426,8890,1776,(1700 bytes),0.000121000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592018489 HTTP/1.1
40,431,16.694294,::1,::1,HTTP/JSON,8890,59426,503,(427 bytes),0.000121000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
41,433,18.698856,::1,::1,HTTP,59426,8890,1776,(1700 bytes),0.000121000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/contents/Documents/Final_Project/%D7%A7%D7%91%D7%A6%D7%99%20%D7%94%D7%92%D7%A9%D7%94/project_1.ipynb/checkpoints?1766592020500 HTTP/1.1
42,435,18.703539,::1,::1,HTTP/JSON,8890,59426,503,(427 bytes),0.000121000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
43,456,20.673558,::1,::1,HTTP,59426,8890,1671,(1595 bytes),0.000121000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/kernels?1766592022471 HTTP/1.1
44,458,20.673833,::1,::1,HTTP,59427,8890,1672,(1596 bytes),0.000286000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/sessions?1766592022471 HTTP/1.1
45,464,20.675237,::1,::1,HTTP,59428,8890,1673,(1597 bytes),0.000141000,"0x018 (PSH, ACK)",GET,null:ipv6:tcp:http,GET /api/terminals?1766592022475 HTTP/1.1
46,466,20.677328,::1,::1,HTTP/JSON,8890,59427,1579,(1503 bytes),0.000286000,"0x018 (PSH, ACK)",,null:ipv6:tcp:http:json,"HTTP/1.1 200 OK , JSON (application/json)"
